,Compound,Date,Negative,Neutral,Positive,Text,Tweets Ago,User
0,0.0,Mon Mar 12 01:01:22 +0000 2018,1.0,0.0,0.0,Parliament marriage proposal MP weds in Australia https://t.co/yWwqgnI6gP,1,BBCWorld
1,0.0,Mon Mar 12 00:39:38 +0000 2018,1.0,0.0,0.0,How slime turned around the fate of a glue factory https://t.co/KJ3rRKJ6Z7,2,BBCWorld
2,0.0,Mon Mar 12 00:17:08 +0000 2018,1.0,0.0,0.0,Helicopter crashes in New York City's East River https://t.co/vNZjYhT7xK,3,BBCWorld
3,0.0,Sun Mar 11 21:48:23 +0000 2018,1.0,0.0,0.0,Putin ordered plane to be downed in 2014 https://t.co/Nm2mWaSboe,4,BBCWorld
4,0.0,Sun Mar 11 21:04:29 +0000 2018,1.0,0.0,0.0,Martin Selmayr: The man at the heart of a Brussels saga https://t.co/77exuTT1bG,5,BBCWorld
5,0.0,Sun Mar 11 19:43:26 +0000 2018,1.0,0.0,0.0,"Trump-North Korea meeting: US 'knows the risks', says spy chief https://t.co/dcaLR1BTYX",6,BBCWorld
6,-0.7579,Sun Mar 11 17:47:47 +0000 2018,0.552,0.448,0.0,Missing Spanish boy Gabriel Cruz found dead in car https://t.co/4npjZ7xzGH,7,BBCWorld
7,-0.6249,Sun Mar 11 17:47:47 +0000 2018,0.579,0.421,0.0,Iran plane crash: Turkish private jet 'catches fire' https://t.co/UZy9IWrhze,8,BBCWorld
8,0.4019,Sun Mar 11 16:14:07 +0000 2018,0.803,0.0,0.197,'National Rally': Le Pen proposes new party name for National Front https://t.co/cqhyFGPjkU,9,BBCWorld
9,0.0,Sun Mar 11 15:47:13 +0000 2018,1.0,0.0,0.0,Black Panther film: 'Game-changing' movie takes $1bn https://t.co/kxPfHLDMg6,10,BBCWorld
10,-0.1027,Sun Mar 11 15:17:25 +0000 2018,0.851,0.149,0.0,Eastern Ghouta: Mattis warns Syria over 'weaponised gas' https://t.co/lfjAobGBit,11,BBCWorld
11,-0.4939,Sun Mar 11 13:58:05 +0000 2018,0.856,0.144,0.0,"RT @BBCSteveR: ""Deadly place"": Russian state TV today surmises that Britain poisoned Sergei Skripal. ""Only the British stand to benefit...t…",12,BBCWorld
12,-0.2023,Sun Mar 11 13:49:23 +0000 2018,0.816,0.184,0.0,Colombia election: Former Farc rebels face first ballot https://t.co/BMR5lUOnpO,13,BBCWorld
13,-0.6705,Sun Mar 11 13:17:23 +0000 2018,0.609,0.391,0.0,Rwanda Seventh-Day Adventist churchgoers killed by lightning https://t.co/EycF4eHHye,14,BBCWorld
